timestamp,amount,transaction_type,currency,description_raw,description_cleaned,merchant,is_income,risk_flag,source_type,user_id
2023-04-03T10:45:15Z,350.0,CREDIT,GBP,BACS Payment from Uber,Payment from Uber,Uber,True,,platform,user_00000
2023-04-05T14:12:30Z,-45.6,DEBIT,GBP,ASDA Groceries Manchester,ASDA Groceries,ASDA,False,,retail,user_00000
2023-04-10T09:00:00Z,150.0,CREDIT,GBP,PayPal Transfer from Odd Jobs,Transfer from Odd Jobs,Odd Jobs,True,unexplained inflow,informal,user_00000
2023-04-12T18:30:00Z,-25.0,DEBIT,GBP,Netflix.com Subscription,Netflix Subscription,Netflix,False,,subscription,user_00000
2023-04-15T11:20:45Z,420.0,CREDIT,GBP,BACS Payment from Food Delivery,Payment from Food Delivery,Food Delivery,True,,platform,user_00000
2023-04-20T16:45:00Z,-80.0,DEBIT,GBP,Fuel Payment Shell Station,Fuel Payment,Shell,False,,utilities,user_00000
2023-04-25T13:00:00Z,250.0,CREDIT,GBP,PayPal Transfer from Landscaping Job,Transfer from Landscaping Job,Landscaping,True,unexplained inflow,informal,user_00000
2023-05-02T08:30:00Z,-120.0,DEBIT,GBP,Electricity Bill E.ON Energy,Electricity Bill,E.ON,False,,utilities,user_00000
2023-05-04T10:15:00Z,370.0,CREDIT,GBP,BACS Payment from Uber,Payment from Uber,Uber,True,,platform,user_00000
2023-05-06T11:30:00Z,-60.0,DEBIT,GBP,Restaurant Bill Nando's,Restaurant Bill,Nando's,False,,dining,user_00000
2023-05-10T17:00:00Z,480.0,CREDIT,GBP,BACS Payment from Food Delivery,Payment from Food Delivery,Food Delivery,True,,platform,user_00000
2023-05-15T09:45:00Z,-40.0,DEBIT,GBP,Mobile Payment Vodafone,Mobile Payment,Vodafone,False,,utilities,user_00000
2023-05-20T14:30:00Z,-200.0,DEBIT,GBP,ATM Withdrawal Manchester,ATM Withdrawal,ATM,False,,cash,user_00000
2023-05-25T12:00:00Z,300.0,CREDIT,GBP,PayPal Transfer from Gardening Work,Transfer from Gardening Work,Gardening,True,unexplained inflow,informal,user_00000
2023-06-01T11:00:00Z,-75.0,DEBIT,GBP,Amazon.co.uk Purchase,Amazon Purchase,Amazon,False,,retail,user_00000
2023-06-05T10:30:00Z,400.0,CREDIT,GBP,BACS Payment from Uber,Payment from Uber,Uber,True,,platform,user_00000
2023-06-08T14:00:00Z,-50.0,DEBIT,GBP,Takeaway Payment Just Eat,Takeaway Payment,Just Eat,False,,dining,user_00000
2023-06-12T16:00:00Z,460.0,CREDIT,GBP,BACS Payment from Food Delivery,Payment from Food Delivery,Food Delivery,True,,platform,user_00000
2023-06-15T09:30:00Z,-30.0,DEBIT,GBP,Coffee Shop Costa,Coffee Shop,Costa,False,,dining,user_00000
2023-06-20T13:00:00Z,-150.0,DEBIT,GBP,Overdraft Fee,Overdraft Fee,Bank,False,,fees,user_00000
